"RecType","LOINC_NUM","COMPONENT","PROPERTY","TIME_ASPCT","SYSTEM","SCALE_TYP","METHOD_TYP","CLASS"
"CHANGED","107530-8","Maximum clot strength amplitude","Len","Pt","Bld","Qn","Thromboelastography.extrinsic coagulation system activated","COAG"
"BEFORE","107531-6","Maximum clot strength amplitude.extrinsic coagulation system activated","ACnc","Pt","Bld","Qn","","COAG"
"CHANGED","107531-6","Maximum clot strength amplitude","ACnc","Pt","Bld","Qn","Thromboelastography.extrinsic coagulation system activated","COAG"
"BEFORE","107532-4","Maximum clot strength amplitude.extrinsic coagulation system activated.platelets","Len","Pt","Bld","Qn","","COAG"
"CHANGED","107532-4","Maximum clot strength amplitude","Len","Pt","Bld","Qn","Thromboelastography.extrinsic coagulation system activated.platelets","COAG"
"BEFORE","107533-2","Maximum clot strength amplitude.extrinsic coagulation system activated.platelets","ACnc","Pt","Bld","Qn","","COAG"
"CHANGED","107533-2","Maximum clot strength amplitude","ACnc","Pt","Bld","Qn","Thromboelastography.extrinsic coagulation system activated.platelets","COAG"
"BEFORE","107534-0","Maximum clot strength amplitude.intrinsic coagulation system activated","Len","Pt","Bld","Qn","","COAG"
"CHANGED","107534-0","Maximum clot strength amplitude","Len","Pt","Bld","Qn","Thromboelastography.intrinsic coagulation system activated","COAG"
"BEFORE","107535-7","Maximum clot strength amplitude.intrinsic coagulation system activated","ACnc","Pt","Bld","Qn","","COAG"
"CHANGED","107535-7","Maximum clot strength amplitude","ACnc","Pt","Bld","Qn","Thromboelastography.intrinsic coagulation system activated","COAG"
"BEFORE","107536-5","Maximum clot strength amplitude.intrinsic coagulation system activated.heparin","Len","Pt","Bld","Qn","","COAG"
"CHANGED","107536-5","Maximum clot strength amplitude","Len","Pt","Bld","Qn","Thromboelastography.intrinsic coagulation system activated.heparin","COAG"
"BEFORE","107537-3","Maximum clot strength amplitude.intrinsic coagulation system activated.heparin","ACnc","Pt","Bld","Qn","","COAG"
"CHANGED","107537-3","Maximum clot strength amplitude","ACnc","Pt","Bld","Qn","Thromboelastography.intrinsic coagulation system activated.heparin","COAG"
